Hour,droughts_tweets,droughts_spike,heatwaves_tweets,heatwaves_spike,floods_tweets,floods_spike
2009-03-10 16,1.0,0.0,,,1.0,0.0
2009-03-13 01,1.0,0.0,,,1.0,0.0
2009-03-13 13,1.0,0.0,,,,
2009-03-13 23,1.0,0.0,,,,
2009-03-15 21,1.0,0.0,,,,
2009-03-17 11,1.0,0.0,,,2.0,1.0
2009-03-17 14,1.0,0.0,,,,
2009-03-17 17,1.0,0.0,,,1.0,0.0
2009-03-18 00,2.0,1.0,,,,
2009-03-18 17,1.0,0.0,,,,
2009-03-18 18,1.0,0.0,,,,
2009-03-19 01,1.0,0.0,,,1.0,0.0
2009-03-20 01,2.0,1.0,,,,
2009-03-20 02,1.0,0.0,,,,
2009-03-20 13,1.0,0.0,,,1.0,0.0
2009-03-20 15,1.0,0.0,,,,
2009-03-25 04,1.0,0.0,1.0,0.0,,
2009-03-25 08,1.0,0.0,,,,
2009-03-26 03,1.0,0.0,,,,
2009-03-27 14,1.0,0.0,,,,
2009-03-27 15,1.0,0.0,,,,
2009-03-27 16,1.0,0.0,,,1.0,0.0
2009-03-31 18,1.0,0.0,,,,
2009-04-01 03,2.0,1.0,,,,
2009-04-01 20,1.0,0.0,,,,
2009-04-02 12,1.0,0.0,,,,
2009-04-02 13,1.0,0.0,1.0,0.0,1.0,0.0
2009-04-04 11,8.0,1.0,,,,
2009-04-04 12,1.0,0.0,,,,
2009-04-04 14,6.0,1.0,,,,
2009-04-04 16,2.0,0.0,,,,
2009-04-05 05,1.0,0.0,,,,
2009-04-05 15,1.0,0.0,,,,
2009-04-08 12,1.0,0.0,,,,
2009-04-09 15,2.0,0.0,,,,
2009-04-09 18,1.0,0.0,,,,
2009-04-09 23,1.0,0.0,,,,
2009-04-10 21,1.0,0.0,,,,
2009-04-11 07,2.0,0.0,,,2.0,0.0
2009-04-11 17,1.0,0.0,,,1.0,0.0
2009-04-11 18,1.0,0.0,,,,
2009-04-11 21,3.0,0.0,,,3.0,1.0
2009-04-12 00,1.0,0.0,,,1.0,0.0
2009-04-12 03,1.0,0.0,,,,
2009-04-12 11,1.0,0.0,,,,
2009-04-12 16,1.0,0.0,,,,
2009-04-13 07,1.0,0.0,,,,
2009-04-13 19,1.0,0.0,,,,
2009-04-14 04,1.0,0.0,,,,
2009-04-14 11,1.0,0.0,1.0,0.0,,
2009-04-15 16,1.0,0.0,,,,
2009-04-16 04,1.0,0.0,,,,
2009-04-16 09,1.0,0.0,,,,
2009-04-16 11,1.0,0.0,,,,
2009-04-16 18,1.0,0.0,,,,
2009-04-16 19,7.0,1.0,,,,
2009-04-16 20,3.0,1.0,,,,
2009-04-16 21,1.0,0.0,,,,
2009-04-16 23,1.0,0.0,,,,
2009-04-17 03,1.0,0.0,,,,
2009-04-17 04,2.0,0.0,,,,
2009-04-17 09,1.0,0.0,,,,
2009-04-17 13,2.0,0.0,,,,
2009-04-17 14,4.0,0.0,,,,
2009-04-17 16,1.0,0.0,,,,
2009-04-17 20,2.0,0.0,,,,
2009-04-17 21,1.0,0.0,,,1.0,0.0
2009-04-18 02,4.0,0.0,,,3.0,1.0
2009-04-18 03,2.0,0.0,,,,
